"year","x1","x2","incumbent","Dem_vote","Rep_vote","Dem_pct","contested"
1896,1,1,-9,10859,27623,0.28218387817681,TRUE
1896,1,2,-9,22317,35944,0.383052127495237,TRUE
1896,1,3,-9,7665,15269,0.334219935466992,TRUE
1896,1,4,-9,15723,30658,0.338996571872103,TRUE
1896,2,1,-9,8790,19329,0.312600021337885,TRUE
1896,2,2,-9,8424,22418,0.27313403800013,TRUE
1896,2,3,-9,8024,20900,0.277416678191122,TRUE
1896,2,4,-9,9166,21300,0.300859975054159,TRUE
1896,3,1,-9,8579,18075,0.321865386058378,TRUE
1896,3,2,-9,7778,19793,0.282108012041638,TRUE
1896,3,3,-9,7185,18993,0.274467109786844,TRUE
1896,3,4,-9,8847,20062,0.306029264242969,TRUE
1896,3,5,-9,11531,17835,0.392664986719335,TRUE
1896,3,6,-9,7460,19947,0.272193235304849,TRUE
1896,3,7,-9,10609,22759,0.317939343083193,TRUE
1896,3,8,-9,7590,22054,0.256038321414114,TRUE
1896,3,9,-9,13979,7819,0.641297366730893,TRUE
1896,3,10,-9,14259,17147,0.454021524549449,TRUE
1896,3,11,-9,10154,22993,0.306332398105409,TRUE
1896,3,12,-9,0,21107,0,FALSE
1896,3,13,-9,5993,17685,0.253104147309739,TRUE
1896,4,1,-9,13928,25661,0.351814898077749,TRUE
1896,4,2,-9,13877,26689,0.342084504264655,TRUE
1896,5,1,-9,8542,17378,0.329552469135802,TRUE
1896,5,2,-9,8088,16612,0.327449392712551,TRUE
1896,6,1,-9,7693,26145,0.22734795200662,TRUE
1896,6,2,-9,6202,26319,0.190707542818487,TRUE
1896,11,98,-9,15407,11159,0.579951818113378,TRUE
1896,12,1,-9,17188,22659,0.431349913418827,TRUE
1896,12,2,-9,13969,31418,0.307775354176306,TRUE
1896,12,3,-9,16087,24308,0.398242356727318,TRUE
1896,12,4,-9,17517,20494,0.460840283075952,TRUE
1896,12,5,-9,13667,23845,0.364336745574749,TRUE
1896,12,6,-9,15393,31059,0.331374321880651,TRUE
1896,12,7,-9,26080,30657,0.459664769021979,TRUE
1896,12,8,-9,13487,25131,0.349241286446735,TRUE
1896,13,1,-9,15923,27191,0.369323189683166,TRUE
1896,13,2,-9,15901,18268,0.465363341040124,TRUE
1896,13,3,-9,16260,23813,0.405759488932698,TRUE
1896,13,4,-9,18381,25810,0.415944423072571,TRUE
1896,13,5,-9,14186,22605,0.385583430730342,TRUE
1896,13,6,-9,14287,15314,0.482652613087396,TRUE
1896,13,7,-9,11032,9848,0.528352490421456,TRUE
1896,13,8,-9,9219,10488,0.46780331861775,TRUE
1896,13,9,-9,11002,8379,0.567669366905732,TRUE
1896,13,10,-9,17446,14245,0.550503297466158,TRUE
1896,13,11,-9,12195,10435,0.538886433937251,TRUE
1896,13,12,-9,12815,11038,0.537248983356391,TRUE
1896,13,13,-9,14067,15413,0.477170963364993,TRUE
1896,13,14,-9,18553,27875,0.399607995175325,TRUE
1896,13,15,-9,22520,29602,0.432063236253405,TRUE
1896,13,16,-9,23456,30709,0.433047170682175,TRUE
1896,13,17,-9,15500,22622,0.406589370966896,TRUE
1896,13,18,-9,15958,25531,0.38463207115139,TRUE
1896,13,19,-9,17735,23509,0.430001939676074,TRUE
1896,13,20,-9,17637,22342,0.44115660721879,TRUE
1896,13,21,-9,22267,28587,0.437861328509065,TRUE
1896,13,22,-9,0,32269,0,FALSE
1896,13,23,-9,0,30475,0,FALSE
1896,13,24,-9,16248,27242,0.373603127155668,TRUE
1896,13,25,-9,16512,26996,0.37951641077503,TRUE
1896,13,26,-9,20383,34686,0.37013564800523,TRUE
1896,13,27,-9,-9,27427,NA,NA
1896,13,28,-9,19822,33628,0.370851262862488,TRUE
1896,13,29,-9,17994,27192,0.398220687823662,TRUE
1896,13,30,-9,19066,28478,0.401018004374895,TRUE
1896,13,31,-9,17109,25399,0.40248894325774,TRUE
1896,13,32,-9,14765,18623,0.442224751407691,TRUE
1896,13,33,-9,14636,27573,0.34675069298017,TRUE
1896,13,34,-9,0,30696,0,FALSE
1896,14,1,-9,13962,32466,0.300723701214784,TRUE
1896,14,2,-9,6100,22205,0.215509627274333,TRUE
1896,14,3,-9,11655,9556,0.54947904389232,TRUE
1896,14,4,-9,16536,59147,0.218490281833437,TRUE
1896,14,5,-9,14484,47953,0.231977833656326,TRUE
1896,14,6,-9,-9,-9,NA,NA
1896,14,7,-9,16740,26725,0.385137466927413,TRUE
1896,14,8,-9,16743,17072,0.495135294987432,TRUE
1896,14,9,-9,26123,23022,0.531549496388239,TRUE
1896,14,10,-9,8252,24122,0.254895904120591,TRUE
1896,14,11,-9,10741,18598,0.366099730733836,TRUE
1896,14,12,-9,17976,20920,0.462155491567256,TRUE
1896,14,13,-9,14512,16613,0.466248995983936,TRUE
1896,14,14,-9,0,25014,0,FALSE
1896,14,15,-9,11444,20210,0.361534087319138,TRUE
1896,14,16,-9,15152,21543,0.412917291184085,TRUE
1896,14,17,-9,14073,15195,0.480832308323083,TRUE
1896,14,18,-9,14222,22455,0.3877634484827,TRUE
1896,14,19,-9,22160,21382,0.508933902898351,TRUE
1896,14,20,-9,17297,19974,0.464087360145958,TRUE
1896,14,21,-9,19464,32149,0.377114292910701,TRUE
1896,14,22,-9,12788,28860,0.307049558202075,TRUE
1896,14,23,-9,6191,21379,0.22455567645992,TRUE
1896,14,24,-9,26538,36554,0.420623850884423,TRUE
1896,14,25,-9,17050,26529,0.391243488836366,TRUE
1896,14,26,-9,18114,18840,0.490176976781945,TRUE
1896,14,27,-9,10058,15777,0.389316818269789,TRUE
1896,14,28,-9,18090,19295,0.483883910659355,TRUE
1896,14,97,-9,-9,-9,NA,NA
1896,14,98,-9,-9,-9,NA,NA
1896,21,1,-9,23123,51582,0.309524128237735,TRUE
1896,21,2,-9,28309,35045,0.44683840010102,TRUE
1896,21,3,-9,21485,22075,0.493227731864096,TRUE
1896,21,4,-9,20454,22364,0.477696295950301,TRUE
1896,21,5,-9,19975,23053,0.464232592730315,TRUE
1896,21,6,-9,19144,25723,0.42668330844496,TRUE
1896,21,7,-9,21213,41510,0.338201297769558,TRUE
1896,21,8,-9,12861,32073,0.286219789023902,TRUE
1896,21,9,-9,15241,32949,0.316268935463789,TRUE
1896,21,10,-9,15741,31459,0.333495762711864,TRUE
1896,21,11,-9,18514,24785,0.427584932677429,TRUE
1896,21,12,-9,18613,28566,0.394518747747939,TRUE
1896,21,13,-9,18811,27324,0.407738159748564,TRUE
1896,21,14,-9,23413,25144,0.48217558745392,TRUE
1896,21,15,-9,24296,24605,0.496840555407865,TRUE
1896,21,16,-9,26615,20472,0.56523031834689,TRUE
1896,21,17,-9,23714,23813,0.498958486754897,TRUE
1896,21,18,-9,22358,20599,0.520473962334427,TRUE
1896,21,19,-9,23960,22793,0.51248048253588,TRUE
1896,21,20,-9,22359,19508,0.534048295793823,TRUE
1896,21,21,-9,23581,23179,0.504298545765612,TRUE
1896,21,22,-9,17811,22066,0.446648443965193,TRUE
1896,22,1,-9,20856,21807,0.488854510934533,TRUE
1896,22,2,-9,21757,20759,0.511736757926428,TRUE
1896,22,3,-9,22418,19984,0.528701476345455,TRUE
1896,22,4,-9,23594,22769,0.508897180941699,TRUE
1896,22,5,-9,24925,25290,0.496365627800458,TRUE
1896,22,6,-9,21867,24083,0.47588683351469,TRUE
1896,22,7,-9,24817,29075,0.460495064202479,TRUE
1896,22,8,-9,27413,30045,0.477096313829232,TRUE
1896,22,9,-9,23367,23616,0.497350105357257,TRUE
1896,22,10,-9,23120,28259,0.449989295237354,TRUE
1896,22,11,-9,23584,27853,0.458502634290491,TRUE
1896,22,12,-9,22752,22196,0.506184924801993,TRUE
1896,22,13,-9,23928,25514,0.483961004813721,TRUE
1896,23,1,-9,19291,24021,0.445396195049871,TRUE
